"","Figure","Panel","Weights","Ensemble","Comparison","Fit","c","d","e","Pr90"
"212","S3","D","inv_var_weights","BLUP","RNR","EXD3",0.927833151876801,0.964209795163161,1.06708318590848,3
"213","S3","D","inv_var_weights","BLUP","RF","EXD3",0.948823865922588,0.949701833507322,1.06708318590848,3
"214","S3","D","inv_var_weights","BLUP","SVR","EXD3",0.8873322492265,0.98704309110954,1.06708318590848,3
"215","S3","D","inv_var_weights","BLUP","DNN-CO","EXD3",0.892461247143788,0.917067042693358,1.06708318590848,3
"216","S3","D","inv_var_weights","BLUP","DNN-SO","EXD3",0.932450352708726,0.986101641783806,1.06708318590848,3
"217","S3","E","inv_var_weights","KNN","BLUP","EXD3",0.919707722939977,0.942618486883571,1.27694521924991,3
"218","S3","E","inv_var_weights","KNN","SVR","EXD3",0.977719248574988,1.0477806512232,1.27694521924991,3
"219","S3","E","inv_var_weights","KNN","DNN-CO","EXD3",0.957247368096665,0.985901257948998,1.27694521924991,3
"220","S3","E","inv_var_weights","KNN","DNN-SO","EXD3",0.991862043516346,1.04120650537258,1.27694521924991,3
"221","S3","E","inv_var_weights","KNN","LM","Linear",1.03486055078759,NA,NA,NA
"222","S3","E","inv_var_weights","KNN","KNN","Linear",1.03486055078759,NA,NA,NA
"223","S3","E","inv_var_weights","KNN","RNR","Linear",1.03486055078759,NA,NA,NA
"224","S3","E","inv_var_weights","KNN","RF","Linear",1.03486055078759,NA,NA,NA
"225","S3","F","inv_var_weights","RNR","BLUP","EXD3",0.927950085099117,0.971213307058378,0.926280152377301,3
"226","S3","F","inv_var_weights","RNR","SVR","EXD3",0.987382549743656,1.0605315251383,0.926280152377301,3
"227","S3","F","inv_var_weights","RNR","DNN-CO","EXD3",0.963343058512001,1.02666897433597,0.926280152377301,3
"228","S3","F","inv_var_weights","RNR","DNN-SO","EXD3",0.998165620515027,1.05246488935556,0.926280152377301,3
"229","S3","F","inv_var_weights","RNR","LM","Linear",1.04279805724848,NA,NA,NA
"230","S3","F","inv_var_weights","RNR","KNN","Linear",1.04279805724848,NA,NA,NA
"231","S3","F","inv_var_weights","RNR","RNR","Linear",1.04279805724848,NA,NA,NA
"232","S3","F","inv_var_weights","RNR","RF","Linear",1.04279805724848,NA,NA,NA
"233","S3","G","inv_var_weights","RF","BLUP","EXD3",0.948100418154371,1.11305497630659,0.323342623803715,1
